ZIP Code,Territory,TNT,UDS Zone
60561,Lombard,1 Day ,2
60517,Lombard,1 Day ,2
60532,Lombard,1 Day ,2
60174,Lombard,1 Day ,2
60555,Lombard,1 Day ,2
60563,Lombard,1 Day ,2
60540,Lombard,1 Day ,2
60565,Lombard,1 Day ,2
60175,Lombard,1 Day ,2
60124,Lombard,1 Day ,2
60140,Lombard,1 Day ,2
60152,Lombard,1 Day ,2
60510,Lombard,1 Day ,2
60539,Lombard,1 Day ,2
60502,Lombard,1 Day ,2
60504,Lombard,1 Day ,2
60542,Lombard,1 Day ,2
60564,Lombard,1 Day ,2
60134,Lombard,1 Day ,2
60505,Lombard,1 Day ,2
60135,Lombard,1 Day ,2
60503,Lombard,1 Day ,2
60538,Lombard,1 Day ,2
60543,Lombard,1 Day ,2
60506,Lombard,1 Day ,2
60145,Lombard,1 Day ,2
60151,Lombard,1 Day ,2
60119,Lombard,1 Day ,2
60146,Lombard,1 Day ,2
60203,Lombard,1 Day ,2
60208,Lombard,1 Day ,2
60301,Lombard,1 Day ,2
60165,Lombard,1 Day ,2
60141,Lombard,1 Day ,2
46352,Griffith,1 Day ,5
46361,Griffith,1 Day ,5
46301,Griffith,1 Day ,5
46384,Griffith,1 Day ,5
60412,Griffith,1 Day ,5
46325,Griffith,1 Day ,5
46401,Griffith,1 Day ,5
46393,Griffith,1 Day ,5
46345,Griffith,1 Day ,5
46680,Griffith,1 Day ,5
46634,Griffith,1 Day ,5
46624,Griffith,1 Day ,5
46626,Griffith,1 Day ,5
46660,Griffith,1 Day ,5
46546,Griffith,1 Day ,5
46380,Griffith,1 Day ,5
46302,Griffith,1 Day ,5
46411,Griffith,1 Day ,5
46308,Griffith,1 Day ,5
46355,Griffith,1 Day ,5
46377,Griffith,1 Day ,5
46376,Griffith,1 Day ,5
46372,Griffith,1 Day ,5
46379,Griffith,1 Day ,5
46381,Griffith,1 Day ,5
47996,Griffith,1 Day ,5
60944,Griffith,1 Day ,5
60434,Griffith,1 Day ,5
60910,Griffith,1 Day ,5
60956,Griffith,1 Day ,5
60945,Griffith,1 Day ,5
60967,Griffith,1 Day ,5
60974,Griffith,1 Day ,5
60969,Griffith,1 Day ,5
60939,Griffith,1 Day ,5
60926,Griffith,1 Day ,5
60932,Griffith,1 Day ,5
61848,Griffith,1 Day ,5
61857,Griffith,1 Day ,5
61871,Griffith,1 Day ,5
60933,Griffith,1 Day ,5
61955,Griffith,1 Day ,5
61803,Griffith,1 Day ,5
61824,Griffith,1 Day ,5
61825,Griffith,1 Day ,5
61826,Griffith,1 Day ,5
61815,Griffith,1 Day ,5
61949,Griffith,1 Day ,5
61941,Griffith,1 Day ,5
46511,Griffith,1 Day ,5
46574,Griffith,1 Day ,5
46554,Griffith,1 Day ,5
46371,Griffith,1 Day ,5
46552,Griffith,1 Day ,5
